Date,Open,High,Low,Close
8/1/2026 0:00,1.1676,1.1677,1.1675,1.1677
8/1/2026 0:05,1.1677,1.1677,1.1675,1.1676
8/1/2026 0:10,1.1676,1.1677,1.1676,1.1676
8/1/2026 0:15,1.1676,1.1677,1.1675,1.1676
8/1/2026 0:20,1.1676,1.1677,1.1675,1.1677
8/1/2026 0:25,1.1677,1.1677,1.1674,1.1676
8/1/2026 0:30,1.1676,1.1677,1.1676,1.1677
8/1/2026 0:35,1.1677,1.1677,1.1675,1.1677
8/1/2026 0:40,1.1677,1.1677,1.1675,1.1676
8/1/2026 0:45,1.1676,1.1677,1.1674,1.1676
8/1/2026 0:50,1.1675,1.1677,1.1675,1.1676
8/1/2026 0:55,1.1676,1.1677,1.1674,1.1675
8/1/2026 1:00,1.1675,1.1676,1.1673,1.1675
8/1/2026 1:05,1.1675,1.1677,1.1674,1.1676
8/1/2026 1:10,1.1676,1.1677,1.1675,1.1676
8/1/2026 1:15,1.1676,1.1677,1.1675,1.1676
8/1/2026 1:20,1.1677,1.1677,1.1675,1.1677
8/1/2026 1:25,1.1677,1.1677,1.1674,1.1675
8/1/2026 1:30,1.1675,1.1676,1.1673,1.1674
8/1/2026 1:35,1.1674,1.1675,1.1671,1.1673
8/1/2026 1:40,1.1673,1.1673,1.1671,1.1673
8/1/2026 1:45,1.1673,1.1674,1.1671,1.1674
8/1/2026 1:50,1.1674,1.1675,1.1673,1.1674
8/1/2026 1:55,1.1674,1.1674,1.1672,1.1674
8/1/2026 2:00,1.1674,1.1675,1.1672,1.1673
8/1/2026 2:05,1.1673,1.1675,1.1673,1.1675
8/1/2026 2:10,1.1674,1.1675,1.1673,1.1674
8/1/2026 2:15,1.1674,1.1675,1.1672,1.1673
8/1/2026 2:20,1.1671,1.1673,1.1671,1.1673
8/1/2026 2:25,1.1673,1.1674,1.1671,1.1673
8/1/2026 2:30,1.1672,1.1676,1.1672,1.1676
8/1/2026 2:35,1.1675,1.1678,1.1675,1.1676
8/1/2026 2:40,1.1675,1.168,1.1674,1.1679
8/1/2026 2:45,1.1679,1.168,1.1677,1.1678
8/1/2026 2:50,1.1678,1.168,1.1676,1.1679
8/1/2026 2:55,1.1679,1.1681,1.1677,1.1679
8/1/2026 3:00,1.1679,1.1681,1.1679,1.1681
8/1/2026 3:05,1.168,1.1681,1.1679,1.168
8/1/2026 3:10,1.168,1.1681,1.1679,1.1679
8/1/2026 3:15,1.168,1.1681,1.1679,1.1681
8/1/2026 3:20,1.1681,1.1681,1.168,1.1681
8/1/2026 3:25,1.1681,1.1681,1.1678,1.1681
8/1/2026 3:30,1.1681,1.1682,1.1679,1.1681
8/1/2026 3:35,1.1681,1.1681,1.1678,1.168
8/1/2026 3:40,1.1679,1.1681,1.1678,1.168
8/1/2026 3:45,1.168,1.168,1.1678,1.1679
8/1/2026 3:50,1.1678,1.1679,1.1677,1.1678
8/1/2026 3:55,1.1678,1.168,1.1677,1.168
8/1/2026 4:00,1.1679,1.1679,1.1677,1.1678
8/1/2026 4:05,1.1677,1.1679,1.1676,1.1679
8/1/2026 4:10,1.1679,1.1679,1.1677,1.1679
8/1/2026 4:15,1.1679,1.168,1.1679,1.168
8/1/2026 4:20,1.168,1.168,1.1678,1.1679
8/1/2026 4:25,1.1679,1.1679,1.1677,1.1678
8/1/2026 4:30,1.1678,1.1678,1.1676,1.1678
8/1/2026 4:35,1.1678,1.1678,1.1677,1.1678
8/1/2026 4:40,1.1677,1.1679,1.1677,1.1679
8/1/2026 4:45,1.1679,1.168,1.1677,1.1679
8/1/2026 4:50,1.1679,1.168,1.1677,1.1679
8/1/2026 4:55,1.1679,1.168,1.1677,1.168
8/1/2026 5:00,1.168,1.168,1.1677,1.1678
8/1/2026 5:05,1.1679,1.168,1.1677,1.1679
8/1/2026 5:10,1.1679,1.168,1.1677,1.1678
8/1/2026 5:15,1.1678,1.1679,1.1676,1.1678
8/1/2026 5:20,1.1677,1.1679,1.1677,1.1679
8/1/2026 5:25,1.1679,1.1679,1.1676,1.1677
8/1/2026 5:30,1.1678,1.1679,1.1677,1.1678
8/1/2026 5:35,1.1678,1.1682,1.1678,1.1682
8/1/2026 5:40,1.1682,1.1682,1.1679,1.1681
8/1/2026 5:45,1.1681,1.1681,1.1679,1.168
8/1/2026 5:50,1.168,1.1681,1.1678,1.1681
8/1/2026 5:55,1.1681,1.1682,1.168,1.1682
8/1/2026 6:00,1.168,1.1682,1.168,1.1681
8/1/2026 6:05,1.1681,1.1681,1.1678,1.168
8/1/2026 6:10,1.168,1.1681,1.1679,1.1681
8/1/2026 6:15,1.1681,1.1681,1.1676,1.1679
8/1/2026 6:20,1.1679,1.1679,1.1677,1.1678
8/1/2026 6:25,1.1678,1.1679,1.1673,1.1675
8/1/2026 6:30,1.1676,1.168,1.1676,1.1679
8/1/2026 6:35,1.1678,1.1681,1.1678,1.1679
8/1/2026 6:40,1.1679,1.168,1.1677,1.1679
8/1/2026 6:45,1.1679,1.1681,1.1676,1.1681
8/1/2026 6:50,1.1681,1.1681,1.1678,1.1681
8/1/2026 6:55,1.168,1.1682,1.168,1.1681
8/1/2026 7:00,1.1681,1.1682,1.1678,1.1681
8/1/2026 7:05,1.1681,1.1682,1.1678,1.168
8/1/2026 7:10,1.1679,1.168,1.1676,1.1677
8/1/2026 7:15,1.1678,1.1679,1.1676,1.1679
8/1/2026 7:20,1.1678,1.1681,1.1677,1.1678
8/1/2026 7:25,1.1678,1.1679,1.1676,1.1679
8/1/2026 7:30,1.1679,1.1682,1.1677,1.1682
8/1/2026 7:35,1.1681,1.1682,1.1679,1.168
8/1/2026 7:40,1.168,1.1681,1.1678,1.1681
8/1/2026 7:45,1.1681,1.1681,1.1678,1.168
8/1/2026 7:50,1.168,1.1681,1.1677,1.1678
8/1/2026 7:55,1.1678,1.1681,1.1675,1.1677
8/1/2026 8:00,1.1678,1.1678,1.1673,1.1675
8/1/2026 8:05,1.1675,1.1676,1.1673,1.1676
8/1/2026 8:10,1.1676,1.1678,1.1675,1.1676
8/1/2026 8:15,1.1676,1.1676,1.1672,1.1673
8/1/2026 8:20,1.1673,1.1675,1.1671,1.1672
8/1/2026 8:25,1.1672,1.1676,1.167,1.1674
8/1/2026 8:30,1.1674,1.1675,1.167,1.1671
8/1/2026 8:35,1.167,1.1672,1.1669,1.1669
8/1/2026 8:40,1.1669,1.1672,1.1668,1.1671
8/1/2026 8:45,1.1671,1.1672,1.1668,1.167
8/1/2026 8:50,1.1668,1.167,1.1667,1.167
8/1/2026 8:55,1.1669,1.1672,1.1669,1.1671
8/1/2026 9:00,1.1669,1.1674,1.1668,1.1673
8/1/2026 9:05,1.1673,1.1673,1.167,1.1672
8/1/2026 9:10,1.1672,1.1673,1.1669,1.167
8/1/2026 9:15,1.167,1.1674,1.167,1.1673
8/1/2026 9:20,1.1673,1.1675,1.1671,1.1672
8/1/2026 9:25,1.1672,1.1673,1.1671,1.1672
8/1/2026 9:30,1.1672,1.1674,1.1671,1.1673
8/1/2026 9:35,1.1673,1.1673,1.1669,1.1672
8/1/2026 9:40,1.1672,1.1673,1.167,1.167
8/1/2026 9:45,1.167,1.1671,1.1669,1.167
8/1/2026 9:50,1.167,1.1675,1.167,1.1675
8/1/2026 9:55,1.1675,1.1676,1.1675,1.1676
8/1/2026 10:00,1.1676,1.1678,1.1675,1.1677
8/1/2026 10:05,1.1677,1.1679,1.1677,1.1678
8/1/2026 10:10,1.1678,1.1681,1.1677,1.1679
8/1/2026 10:15,1.1679,1.168,1.1676,1.1677
8/1/2026 10:20,1.1677,1.1678,1.1675,1.1676
8/1/2026 10:25,1.1676,1.1677,1.1676,1.1677
8/1/2026 10:30,1.1677,1.1679,1.1676,1.1678
8/1/2026 10:35,1.1678,1.1679,1.1678,1.1678
8/1/2026 10:40,1.1679,1.1679,1.1678,1.1678
8/1/2026 10:45,1.1678,1.1679,1.1676,1.1677
8/1/2026 10:50,1.1677,1.1679,1.1677,1.1678
8/1/2026 10:55,1.1678,1.168,1.1675,1.1679
8/1/2026 11:00,1.1679,1.168,1.1678,1.1679
8/1/2026 11:05,1.1679,1.1679,1.1677,1.1678
8/1/2026 11:10,1.1678,1.1678,1.1676,1.1676
8/1/2026 11:15,1.1676,1.1677,1.1675,1.1676
8/1/2026 11:20,1.1676,1.1677,1.1675,1.1676
8/1/2026 11:25,1.1676,1.1677,1.1675,1.1676
8/1/2026 11:30,1.1675,1.1677,1.1675,1.1675
8/1/2026 11:35,1.1675,1.1676,1.1674,1.1676
8/1/2026 11:40,1.1676,1.1678,1.1675,1.1677
8/1/2026 11:45,1.1678,1.1679,1.1677,1.1677
8/1/2026 11:50,1.1678,1.1678,1.1675,1.1677
8/1/2026 11:55,1.1678,1.1678,1.1676,1.1677
8/1/2026 12:00,1.1677,1.1677,1.1675,1.1675
8/1/2026 12:05,1.1675,1.1676,1.1674,1.1676
8/1/2026 12:10,1.1675,1.1676,1.1671,1.1672
8/1/2026 12:15,1.1672,1.1673,1.1671,1.1672
8/1/2026 12:20,1.1672,1.1673,1.1671,1.1671
8/1/2026 12:25,1.1671,1.1672,1.167,1.1672
8/1/2026 12:30,1.1672,1.1672,1.1669,1.1671
8/1/2026 12:35,1.1671,1.1673,1.167,1.1672
8/1/2026 12:40,1.1672,1.1673,1.1671,1.1672
8/1/2026 12:45,1.1672,1.1674,1.1671,1.1673
